e
( 0 10 30):  0.76743840H 0.77441647H 0.78138423H 0.78828819H 0.79510640H
( 0 10 35):  0.80186285H 0.80852593H 0.81511288H 0.82144821H 0.82760015H
( 0 10 40):  0.83348866H 0.83918421H 0.84477077H 0.85036584H 0.85604525H
( 0 10 45):  0.86187809H 0.86771173H 0.87361576H 0.87941205H 0.88492577H
( 0 10 50):  0.89023296H 0.89536908H 0.90054870H 0.90555063H 0.91035542H
( 0 10 55):  0.91479506H 0.91887831H 0.92272680H 0.92635486H 0.92981830H
( 0 10 60):  0.93314716H 0.93634174H 0.93954680H 0.94296331H 0.94656480H
( 0 10 65):  0.95047531H 0.95426135H 0.95764808H 0.96004493H 0.96358311H
( 0 10 70):  0.96690204H 0.96996333H 0.97282847H 0.97551485H 0.97760183H
( 0 10 75):  0.97857098H 0.97950442H 0.98033940H 0.98120445H 0.98205026H
( 0 10 80):  0.98285018H 0.98358130H 0.98428043H 0.98476475H 0.98566445H
( 0 10 85):  0.98636706H 0.98692767H 0.98737275H 0.98778852H 0.98778852H
( 0 10 90):  1.00000000H 1.00000000H 1.00000000H 1.00000000H 1.00000000H
( 0 10 95):  1.00000000H 1.00000000H 1.00000000H 1.00000000H 1.00000000H

( 0 11  0):  0.61222921P 0.61506883P 0.61803881P 0.62114618P 0.62439814P
( 0 11  5):  0.62780051P 0.63136104P 0.63507654P 0.63896605P 0.64304240P
( 0 11 10):  0.64731223P 0.65177530P 0.65643968P 0.66125909P 0.66637942P
( 0 11 15):  0.67177037P 0.67739424P 0.68321815P 0.68924534P 0.69529586P
( 0 11 20):  0.70249236H 0.70973994H 0.71696136H 0.72418885H 0.73145899H
( 0 11 25):  0.73879544H 0.74604598H 0.75322153H 0.76036870H 0.76743840H
( 0 11 30):  0.77441647H 0.78138423H 0.78828819H 0.79510640H 0.80186285H
( 0 11 35):  0.80852593H 0.81511288H 0.82144821H 0.82760015H 0.83348866H
( 0 11 40):  0.83918421H 0.84477077H 0.85036584H 0.85604525H 0.86187809H
( 0 11 45):  0.86771173H 0.87361576H 0.87941205H 0.88492577H 0.89023296H
( 0 11 50):  0.89536908H 0.90054870H 0.90555063H 0.91035542H 0.91479506H
( 0 11 55):  0.91887831H 0.92272680H 0.92635486H 0.92981830H 0.93314716H
( 0 11 60):  0.93634174H 0.93954680H 0.94296331H 0.94656480H 0.95047531H
( 0 11 65):  0.95426135H 0.95764808H 0.96004493H 0.96358311H 0.96690204H
( 0 11 70):  0.96996333H 0.97282847H 0.97551485H 0.97760183H 0.97857098H
( 0 11 75):  0.97950442H 0.98033940H 0.98120445H 0.98205026H 0.98285018H
( 0 11 80):  0.98358130H 0.98428043H 0.98476475H 0.98566445H 0.98636706H
( 0 11 85):  0.98692767H 0.98737275H 0.98778852H 0.98778852H 1.00000000H
( 0 11 90):  1.00000000H 1.00000000H 1.00000000H 1.00000000H 1.00000000H
( 0 11 95):  1.00000000H 1.00000000H 1.00000000H 1.00000000H 1.00000000H

( 0 12  0):  0.61968204P 0.62251607P 0.62548021P 0.62858140P 0.63182676P
( 0 12  5):  0.63522219P 0.63877559P 0.64248434P 0.64636625P 0.65043393P
( 0 12 10):  0.65469436P 0.65914814P 0.66380475P 0.66861877P 0.67372535P
( 0 12 15):  0.67910046P 0.68471070P 0.69052745P 0.69655845P 0.70260946P
( 0 12 20):  0.70973994H 0.71696136H 0.72418885H 0.73145899H 0.73879544H
( 0 12 25):  0.74604598H 0.75322153H 0.76036870H 0.76743840H 0.77441647H
( 0 12 30):  0.78138423H 0.78828819H 0.79510640H 0.80186285H 0.80852593H
( 0 12 35):  0.81511288H 0.82144821H 0.82760015H 0.83348866H 0.83918421H
( 0 12 40):  0.84477077H 0.85036584H 0.85604525H 0.86187809H 0.86771173H
( 0 12 45):  0.87361576H 0.87941205H 0.88492577H 0.89023296H 0.89536908H
( 0 12 50):  0.90054870H 0.90555063H 0.91035542H 0.91479506H 0.91887831H
( 0 12 55):  0.92272680H 0.92635486H 0.92981830H 0.93314716H 0.93634174H
( 0 12 60):  0.93954680H 0.94296331H 0.94656480H 0.95047531H 0.95426135H
( 0 12 65):  0.95764808H 0.96004493H 0.96358311H 0.96690204H 0.96996333H
( 0 12 70):  0.97282847H 0.97551485H 0.97760183H 0.97857098H 0.97950442H
( 0 12 75):  0.98033940H 0.98120445H 0.98205026H 0.98285018H 0.98358130H
( 0 12 80):  0.98428043H 0.98476475H 0.98566445H 0.98636706H 0.98692767H
( 0 12 85):  0.98737275H 0.98778852H 0.98778852H 1.00000000H 1.00000000H
( 0 12 90):  1.00000000H 1.00000000H 1.00000000H 1.00000000H 1.00000000H
( 0 12 95):  1.00000000H 1.00000000H 1.00000000H 1.00000000H 1.00000000H

( 0 13  0):  0.62715697P 0.62998486P 0.63294253P 0.63603682P 0.63927482P
( 0 13  5):  0.64266279P 0.64620848P 0.64990987P 0.65378286P 0.65784058P
( 0 13 10):  0.66209077P 0.66653627P 0.67118405P 0.67599116P 0.68107853P
( 0 13 15):  0.68643710P 0.69203743P 0.69785703P 0.70387783P 0.70992119P
( 0 13 20):  0.71696136H 0.72418885H 0.73145899H 0.73879544H 0.74604598H
( 0 13 25):  0.75322153H 0.76036870H 0.76743840H 0.77441647H 0.78138423H
( 0 13 30):  0.78828819H 0.79510640H 0.80186285H 0.80852593H 0.81511288H
( 0 13 35):  0.82144821H 0.82760015H 0.83348866H 0.83918421H 0.84477077H
( 0 13 40):  0.85036584H 0.85604525H 0.86187809H 0.86771173H 0.87361576H
( 0 13 45):  0.87941205H 0.88492577H 0.89023296H 0.89536908H 0.90054870H
( 0 13 50):  0.90555063H 0.91035542H 0.91479506H 0.91887831H 0.92272680H
( 0 13 55):  0.92635486H 0.92981830H 0.93314716H 0.93634174H 0.93954680H
( 0 13 60):  0.94296331H 0.94656480H 0.95047531H 0.95426135H 0.95764808H
( 0 13 65):  0.96004493H 0.96358311H 0.96690204H 0.96996333H 0.97282847H
( 0 13 70):  0.97551485H 0.97760183H 0.97857098H 0.97950442H 0.98033940H
( 0 13 75):  0.98120445H 0.98205026H 0.98285018H 0.98358130H 0.98428043H
( 0 13 80):  0.98476475H 0.98566445H 0.98636706H 0.98692767H 0.98737275H
( 0 13 85):  0.98778852H 0.98778852H 1.00000000H 1.00000000H 1.00000000H
( 0 13 90):  1.00000000H 1.00000000H 1.00000000H 1.00000000H 1.00000000H
( 0 13 95):  1.00000000H 1.00000000H 1.00000000H 1.00000000H 1.00000000H

( 0 14  0):  0.63464736P 0.63746880P 0.64041962P 0.64350660P 0.64673707P
( 0 14  5):  0.65011738P 0.65365497P 0.65734826P 0.66121155P 0.66525891P
( 0 14 10):  0.66950022P 0.67393683P 0.67857382P 0.68337125P 0.68843866P
( 0 14 15):  0.69378437P 0.69938470P 0.70519349P 0.71119322P 0.71722319P
( 0 14 20):  0.72418885H 0.73145899H 0.73879544H 0.74604598H 0.75322153H
( 0 14 25):  0.76036870H 0.76743840H 0.77441647H 0.78138423H 0.78828819H
( 0 14 30):  0.79510640H 0.80186285H 0.80852593H 0.81511288H 0.82144821H
( 0 14 35):  0.82760015H 0.83348866H 0.83918421H 0.84477077H 0.85036584H
( 0 14 40):  0.85604525H 0.86187809H 0.86771173H 0.87361576H 0.87941205H
( 0 14 45):  0.88492577H 0.89023296H 0.89536908H 0.90054870H 0.90555063H
( 0 14 50):  0.91035542H 0.91479506H 0.91887831H 0.92272680H 0.92635486H
( 0 14 55):  0.92981830H 0.93314716H 0.93634174H 0.93954680H 0.94296331H
( 0 14 60):  0.94656480H 0.95047531H 0.95426135H 0.95764808H 0.96004493H
( 0 14 65):  0.96358311H 0.96690204H 0.96996333H 0.97282847H 0.97551485H
( 0 14 70):  0.97760183H 0.97857098H 0.97950442H 0.98033940H 0.98120445H
( 0 14 75):  0.98205026H 0.98285018H 0.98358130H 0.98428043H 0.98476475H
( 0 14 80):  0.98566445H 0.98636706H 0.98692767H 0.98737275H 0.98778852H
( 0 14 85):  0.98778852H 1.00000000H 1.00000000H 1.00000000H 1.00000000H
( 0 14 90):  1.00000000H 1.00000000H 1.00000000H 1.00000000H 1.00000000H
( 0 14 95):  1.00000000H 1.00000000H 1.00000000H 1.00000000H 1.00000000H

( 0 15  0):  0.64213634P 0.64495112P 0.64789484P 0.65097451P 0.65419750P
( 0 15  5):  0.65756995P 0.66109928P 0.66478352P 0.66863684P 0.67267552P
( 0 15 10):  0.67690790P 0.68133398P 0.68595951P 0.69074227P 0.69579544P
( 0 15 15):  0.70113996P 0.70672830P 0.71251598P 0.71849543P 0.72449200P
( 0 15 20):  0.73145899H 0.73879544H 0.74604598H 0.75322153H 0.76036870H
( 0 15 25):  0.76743840H 0.77441647H 0.78138423H 0.78828819H 0.79510640H
( 0 15 30):  0.80186285H 0.80852593H 0.81511288H 0.82144821H 0.82760015H
( 0 15 35):  0.83348866H 0.83918421H 0.84477077H 0.85036584H 0.85604525H
( 0 15 40):  0.86187809H 0.86771173H 0.87361576H 0.87941205H 0.88492577H
( 0 15 45):  0.89023296H 0.89536908H 0.90054870H 0.90555063H 0.91035542H
( 0 15 50):  0.91479506H 0.91887831H 0.92272680H 0.92635486H 0.92981830H
( 0 15 55):  0.93314716H 0.93634174H 0.93954680H 0.94296331H 0.94656480H
( 0 15 60):  0.95047531H 0.95426135H 0.95764808H 0.96004493H 0.96358311H
( 0 15 65):  0.96690204H 0.96996333H 0.97282847H 0.97551485H 0.97760183H
( 0 15 70):  0.97857098H 0.97950442H 0.98033940H 0.98120445H 0.98205026H
( 0 15 75):  0.98285018H 0.98358130H 0.98428043H 0.98476475H 0.98566445H
( 0 15 80):  0.98636706H 0.98692767H 0.98737275H 0.98778852H 0.98778852H
